2.220096, 1.818182, 0.000013
1.473684, 2.428230, 0.000014
3.349282, 0.777512, 0.000002
0.516746, 1.830144, 0.000015
3.636364, 1.590909, 0.000048
2.602871, -1.519139, 0.999113
-1.435407, 1.315789, 0.000028
-1.837321, -0.179426, 0.000055
3.406699, 0.155502, 0.000030
3.119617, -0.885167, 0.997458
-3.081340, 0.885167, 0.999278
0.727273, 1.949761, 0.000014
-0.440191, -0.956938, 0.000008
-1.569378, -1.148325, 0.000004
3.157895, -0.107656, 0.999332
-3.559809, -1.698565, 0.000033
-0.631579, 0.526316, 0.551144
3.138756, 2.452153, 0.000014
0.459330, 0.741627, 0.000022
1.856459, -0.645933, 0.000004
3.291866, -0.956938, 0.713171
-2.564593, -0.861244, 0.021837
-2.239234, 0.681818, 0.000318
0.555024, 0.370813, 0.996331
3.387560, -2.404306, 0.000031
-3.770335, 2.200957, 0.000011
3.119617, -2.356459, 0.000028
3.827751, 1.267943, 0.000001
1.090909, -0.311005, 0.000010
0.287081, -2.296651, 0.000016
2.047847, 0.442584, 0.001751
-0.784689, 1.375598, 0.000037
-1.148325, 1.100478, 0.000037
-0.095694, -2.416268, 0.000015
-2.086124, 0.143541, 0.989074
2.832536, -2.165072, 0.000026
0.133971, 0.023923, 0.000007
2.775120, -1.543062, 0.998927
-3.961722, -1.208134, 0.000050
1.588517, -0.430622, 0.000091
2.794258, 1.196172, 0.000033
-1.665072, 0.215311, 0.999553
-0.344498, -2.069378, 0.000016
0.172249, -2.404306, 0.000016
2.086124, 0.035885, 0.998205
-1.205742, -0.801435, 0.000003
2.334928, 2.021531, 0.000013
-3.674641, 0.143541, 0.000026
1.607656, 0.909091, 0.000014
0.363636, -1.913876, 0.000016
3.081340, -0.179426, 0.999087
0.956938, 2.021531, 0.000014
-2.909091, 0.885167, 0.996940
2.488038, 0.693780, 0.000064
-1.397129, 1.686603, 0.000029
2.258373, -1.136364, 0.853813
-3.215311, -2.141148, 0.000013
2.889952, -0.765550, 0.333499
0.727273, -1.507177, 0.000018
3.521531, 1.303828, 0.000001
-1.875598, -1.674641, 0.000004
-1.492823, -1.064593, 0.000004
-0.956938, -1.877990, 0.000005
-1.645933, 1.172249, 0.996977
0.344498, 1.076555, 0.000017
3.100478, 0.657895, 0.000013
1.703349, 2.368421, 0.000014
0.516746, -0.586124, 0.999425
-2.966507, -1.112440, 0.000037
-3.004785, -1.566986, 0.000023
-2.047847, -1.136364, 0.000006
-1.741627, -1.674641, 0.000004
-3.904306, 2.452153, 0.000012
2.832536, -1.806220, 0.000067
-3.808612, 0.801435, 0.000001
0.401914, -1.172249, 0.000043
-2.296651, 0.598086, 0.000220
1.607656, 0.000000, 0.193875
-0.688995, 0.382775, 0.999386
1.511962, -2.272727, 0.000012
0.076555, 2.488038, 0.000028
-0.421053, 0.466507, 0.958486
-0.688995, -0.023923, 0.999398
-0.325359, 1.734450, 0.000037
-1.224880, 1.698565, 0.000034
-3.502392, -0.251196, 0.000088
-1.645933, -0.598086, 0.997875
1.779904, -0.227273, 0.000395
3.942584, -0.394737, 0.000009
-2.794258, -0.071770, 0.000017
0.344498, -0.729665, 0.000396
-1.052632, -1.291866, 0.000003
2.468900, 1.495215, 0.000014
-0.918660, -1.555024, 0.000003
3.387560, -1.842105, 0.000062
1.837321, 0.693780, 0.000123
-2.220096, -0.406699, 0.000030
-3.770335, 1.854067, 0.000015
-2.794258, 1.519139, 0.000006
-2.564593, 0.287081, 0.000019
-0.114833, 2.320574, 0.000033
-1.339713, 0.119617, 0.997351
1.569378, -1.650718, 0.000004
3.636364, -1.937799, 0.000055
1.531100, -1.662679, 0.000004
1.186603, -1.590909, 0.000009
-3.291866, 1.471292, 0.000013
3.674641, -0.956938, 0.000025
-0.516746, 1.531100, 0.000076
3.425837, 0.861244, 0.000001
1.090909, 0.287081, 0.745703
3.330144, 1.997608, 0.000017
-0.937799, 2.248804, 0.000051
-0.937799, -2.069378, 0.000005
0.287081, -0.023923, 0.998691
-3.961722, 1.889952, 0.000018
-2.066986, 1.279904, 0.999107
1.990431, 0.669856, 0.000296
-2.239234, 0.741627, 0.000195
3.081340, 0.622010, 0.000310
-0.593301, 1.602871, 0.000080
-2.889952, -1.602871, 0.000019
2.105263, -1.722488, 0.000003
3.904306, 2.296651, 0.000013
-1.703349, 2.045455, 0.000018
-3.234450, -2.212919, 0.000011
-3.043062, 0.239234, 0.047657
2.660287, -1.925837, 0.000030
-1.856459, 0.071770, 0.999155
-0.421053, -1.722488, 0.000018
-3.578947, -0.430622, 0.000076
-3.578947, 1.543062, 0.000011
-2.794258, 0.095694, 0.000013
-3.177033, 1.016746, 0.038960
3.770335, 0.753589, 0.000003
-1.320574, 0.562201, 0.000005
3.272727, 0.610048, 0.053030
1.397129, 0.035885, 0.999340
3.808612, -2.117225, 0.000045
0.267943, -1.184211, 0.000051
2.220096, -0.023923, 0.406429
-3.770335, 0.729665, 0.000007
0.976077, -0.382775, 0.000007
1.492823, -1.327751, 0.000002
-1.952153, 2.428230, 0.000015
-2.526316, 1.507177, 0.000009
-1.205742, -1.339713, 0.000005
-2.143541, 1.279904, 0.999208
3.272727, 0.430622, 0.855942
0.861244, 0.550239, 0.980044
-3.578947, -1.088517, 0.000053
3.559809, 2.308612, 0.000014
3.521531, -1.507177, 0.000054
-0.057416, -0.693780, 0.000005
3.215311, -1.088517, 0.979708
-3.961722, -0.705742, 0.000056
3.885167, -1.650718, 0.000029
1.990431, 2.200957, 0.000013
-0.612440, -0.478469, 0.999443
1.320574, -1.363636, 0.000003
-3.330144, -1.351675, 0.000038
2.813397, 1.495215, 0.000021
2.411483, 2.045455, 0.000013
-1.550239, 0.047847, 0.998619
-0.114833, -0.861244, 0.000005
-0.574163, -0.023923, 0.998705
0.440191, -2.320574, 0.000015
-3.023923, 0.980861, 0.999132
2.736842, -0.753589, 0.999167
-3.272727, 1.028708, 0.000060
-0.229665, 1.973684, 0.000035
-0.842105, -1.949761, 0.000006
1.377990, -0.753589, 0.563793
-3.425837, -1.184211, 0.000048
0.765550, 0.275120, 0.184927
-3.636364, 0.980861, 0.000001
-0.746411, -0.394737, 0.996818
3.942584, -0.311005, 0.000008
-0.861244, -1.925837, 0.000005
1.473684, -2.248804, 0.000012
-0.344498, 0.574163, 0.410674
1.110048, 1.758373, 0.000014
-0.765550, -1.471292, 0.000004
-0.191388, 2.212919, 0.000035
-2.583732, -0.968900, 0.000081
-3.349282, -0.179426, 0.090086
2.258373, 0.849282, 0.000043
1.722488, -1.279904, 0.000003
-1.531100, 2.380383, 0.000011
-0.497608, -2.500000, 0.000014
1.110048, 0.562201, 0.287497
0.516746, -0.334928, 0.985519
